Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
300	NCT03930199	Personalized Mobility Interventions Using Smart Sensor Resources for Lower-Limb Prosthesis Users		Not yet recruiting	No Results Available	Amputation			"Other: Needs-based intervention (physical, psychological, or both)"	Pre-intervention:10 Meter Walk Test (10MWT)|Pre-intervention: 6 Minute Walk Test (6MWT)|Pre-intervention: Berg Balance Scale Test|Post-intervention:10 Meter Walk Test (10MWT)|Post-intervention: 6 Minute Walk Test (6MWT)|Post-intervention: Berg Balance Scale Test|Delayed post-intervention:10 Meter Walk Test (10MWT)|Delayed post-intervention: 6 Minute Walk Test (6MWT)|Delayed post-intervention: Berg Balance Scale Test|Pre-intervention: Amputee Mobility Predictor (AMP)|Pre-intervention: Modified Falls Efficacy Scale (mFES)|Post-intervention: Amputee Mobility Predictor (AMP)|Post-intervention: Modified Falls Efficacy Scale (mFES)|Delayed post-intervention: Amputee Mobility Predictor (AMP)|Delayed post-intervention: Modified Falls Efficacy Scale (mFES)	Shirley Ryan AbilityLab|Walter Reed National Military Medical Center|Minneapolis Veterans Affairs Medical Center	All	"18 Years to 89 Years   (Adult, Older Adult)"	Not Applicable	125	Other|U.S. Fed	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	STU00208186	"March 1, 2020"	30-Sep-22	30-Sep-23	29-Apr-19		21-Jan-20	"Shirley Ryan AbilityLab, Chicago, Illinois, United States|Walter Reed National Military Medical Center, Center for Rehabilitation Sciences Research, Bethesda, Maryland, United States|Minneapolis Veterans Affairs Health Care System, Minneapolis, Minnesota, United States"	"Study Protocol and Statistical Analysis Plan, https://ClinicalTrials.gov/ProvidedDocs/99/NCT03930199/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/99/NCT03930199/ICF_001.pdf"	https://ClinicalTrials.gov/show/NCT03930199
301	NCT03788915	Weight Loss and Reversing T2D Through eHealth Coaching	LIVA	Recruiting	No Results Available	Obesity			Behavioral: Online dietetic lifestyle counseling|Behavioral: Usual care	Weight change|HbA1C change	University of Southern Denmark|Odense University Hospital	All	"18 Years to 70 Years   (Adult, Older Adult)"	Not Applicable	340	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment"	LIVA USouthernDenmark	"April 16, 2018"	19-Apr	21-Mar	28-Dec-18		28-Dec-18	"Research Unit for General Practice, Department for Public Health, University of Southern Denmark, Odense, Region Of Southern Denmark, Denmark|Lægehuset i Stenstrup, Stenstrup, Denmark"		https://ClinicalTrials.gov/show/NCT03788915
302	NCT01594502	Validation of Digital Morphometry for Cancer Risk in Benign Prostate Biopsies		"Active, not recruiting"	No Results Available	Prostate Cancer			Drug: Dutasteride|Drug: Placebo	"Effects of dutasteride (vs. placebo) using multi-feature scores derived from digital image analysis on both nuclear and architectural features in benign prostate tissue.|Multivariable treatment-response score between subjects who develop PCa while on dutasteride and those who do not.|Magnitude of association between nuclear phenotype in benign biopsies, and subsequent risk of PCa in untreated men at elevated risk."	University of Illinois at Chicago|National Cancer Institute (NCI)	Male	"50 Years to 75 Years   (Adult, Older Adult)"		300	Other|NIH	Observational	Observational Model: Case-Control|Time Perspective: Cross-Sectional	2010-0670|R01CA155301	"September 1, 2011"	19-Nov	21-Jul	9-May-12		19-Apr-19	"University of Illinois at Chicago, Chicago, Illinois, United States"		https://ClinicalTrials.gov/show/NCT01594502
303	NCT02499094	Modeling and Predicting Real World Behavior Using Mobile Sensor Data on Patients With Major Depressive Disorder		Completed	No Results Available	Depressive Disorder			Other: Behavioral-data driven support	Change in depression symptom severity|Change in patient activation	Ginger.io	All	"18 Years to 65 Years   (Adult, Older Adult)"	Not Applicable	1004	Industry	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Supportive Care"	GIO-001	"December 1, 2014"	15-Jul		15-Jul-15		15-Jul-15			https://ClinicalTrials.gov/show/NCT02499094
304	NCT03638479	Utilizing Smart Devices to Identify New Phenotypical Characteristics in Movement Disorders		Recruiting	No Results Available	Parkinson Disease|Essential Tremor|Movement Disorders|Parkinson's Syndrome|Atypical Parkinsonism			Other: Data Capture	"Acceleration data in all three axes (x,y,z) measured at both wrists via Smartwatches during 10 minutes of neurological examination. Aggregated data: Mean Frequency and Amplitude of Tremor."	Westfälische Wilhelms-Universität Münster	All	"18 Years and older   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	VA111809	"January 8, 2019"	20-Oct	20-Oct	20-Aug-18		28-May-19	"Institute of Medical Informatics, University of Münster, Münster, Germany"		https://ClinicalTrials.gov/show/NCT03638479
305	NCT03998007	Development of a Medical Device Utilizing an EEG-Based Algorithm for the Objective Quantification of Pain		Completed	No Results Available	Chronic Pain			Device: IRIS System	Pearsons Correlation between IRIS derived pain biomarker and patient reported Numeric Rating Scale (0-10)	"PainQx, Inc|National Institute on Drug Abuse (NIDA)"	All	"18 Years to 85 Years   (Adult, Older Adult)"		50	Industry|NIH	Observational	Observational Model: Case-Only|Time Perspective: Prospective	1	"October 2, 2018"	22-Jan-19	22-Jan-19	25-Jun-19		27-Jun-19	"Boston Pain Care Center, Waltham, Massachusetts, United States"		https://ClinicalTrials.gov/show/NCT03998007
306	NCT04261062	Validity Test of Wearable Continuous Blood Pressure Measuring System		Not yet recruiting	No Results Available	Patients in Surgical Intensive Care				Title quality of pulsewave|User Comfortability	Yonsei University	All	"18 Years and older   (Adult, Older Adult)"		220	Other	Observational	Observational Model: Other|Time Perspective: Other	1-2019-0080	"March 1, 2020"	22-Jan	22-Jan	7-Feb-20		7-Feb-20	"Yonsei University College of Medicine, Department of Anesthesiology and Pain Medicine, Seoul, Korea, Republic of"		https://ClinicalTrials.gov/show/NCT04261062
307	NCT02787200	Identification of Time-invariant EEG Signals for Brain-Computer Interface		Unknown status	No Results Available	EEG Data Analysis|Healthy Subjects				Time invariant components of EEG signals	National Taiwan University Hospital	All	20 Years to 40 Years   (Adult)		50	Other	Observational	Time Perspective: Cross-Sectional	201604024RIND	"May 1, 2016"	17-May	17-May	1-Jun-16		8-Jun-16	"National Taiwan University Hospital, Taipei, Taiwan"		https://ClinicalTrials.gov/show/NCT02787200
308	NCT03965026	Activity Modeling in Birth Room		Completed	No Results Available	Delivery				Anticipate deliveries number 48 hours in advance	Groupe Hospitalier Paris Saint Joseph	Female	"18 Years and older   (Adult, Older Adult)"		5100	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	MODELSAN	"June 22, 2018"	30-Sep-18	22-Dec-18	28-May-19		28-May-19	"Groupe Hospitalier Paris Saint Joseph, Paris, France"		https://ClinicalTrials.gov/show/NCT03965026
309	NCT03962426	Efficacy of Social Cognitive Training (SCT) in Recent-onset Psychosis		Recruiting	No Results Available	Psychosis			Device: SocialVille Social Cognitive Training	Global cognition|Neural effects- Blood Oxygenation Level Dependent (BOLD) images|Decision scores of the ROP-HC classifier|Global functioning - Social (GF-S) and Role (GF-R)|Global Assessment of Functioning (GAF)|Positive and Negative Syndrome Scale (PANSS)|Cognitive Domain - Social Cognition (SC)|Cognitive Domain - Speed of Processing (SoP)|Cognitive Domain - Working Memory (WM)|Cognitive Domain - Verbal Learning (VL)|Cognitive Domain - Attention (Attn)|Cognitive Domain - Executive Functioning (EF)	Ludwig-Maximilians - University of Munich|Posit Science Corporation	All	"15 Years to 40 Years   (Child, Adult)"	Not Applicable	66	Other|Industry	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment"	972_961_PNKT_LKI	"May 1, 2016"	29-Feb-20	29-Feb-20	24-May-19		10-Jan-20	"LudwigMaximilians, München, Deutschland, Germany"		https://ClinicalTrials.gov/show/NCT03962426
310	NCT04034537	Repository of Phase Signals for Algorithm Development and Testing in CAD in CHINA	CADChina	Not yet recruiting	No Results Available	Coronary Artery Disease		Cardiovascular	Diagnostic Test: cPSTA	positive coronary artery disease|positive cardiac Phase Space Tomography Analysis	Shanghai Zhongshan Hospital	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	500	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	CADC-CIP-001	"August 1, 2019"	20-Jun	20-Jul	26-Jul-19		26-Jul-19			https://ClinicalTrials.gov/show/NCT04034537
311	NCT04003662	Vital Sign Comparison Between Lifelight and Standard of Care - Development	VISION-D	Recruiting	No Results Available	Vital Signs			Device: Vital Signs Measurement	Blood Pressure Readings|Oxygen Saturation Readings|Heart Rate (pulse) Readings|Respiratory Rate	Xim Limited	All	"3 Years and older   (Child, Adult, Older Adult)"		9000	Industry	Observational	Observational Model: Cohort|Time Perspective: Prospective	PHT/2018/25 IRAS ID 242581	"May 1, 2018"	1-May-20	1-May-20	1-Jul-19		1-Jul-19	"Portsmouth Hospitals NHS Trust, Portsmouth, England, United Kingdom"		https://ClinicalTrials.gov/show/NCT04003662
312	NCT04032444	Collecting Orthopedic Safety and Performance Data Using Surgeons Clinical Outcomes Registry (SCOR)	SCOR	Recruiting	No Results Available	Orthopedics				Number of device associated and procedure associated adverse events.|Rates of revision surgeries.	"Tornier, Inc."	All	"18 Years and older   (Adult, Older Adult)"		5000	Industry	Observational	Observational Model: Cohort|Time Perspective: Other	19F-W-SCOR-RM	"July 30, 2019"	Jan-40	Jan-40	25-Jul-19		15-Aug-19	"Orthopedic Surgeon, Bradenton, Florida, United States|Orthopedic Surgeon, Pensacola, Florida, United States|Orthopedic Surgeon, Augusta, Georgia, United States|Orthopedic Surgeon, Overland Park, Kansas, United States|Orthopedic Surgeon, Peabody, Massachusetts, United States|Orthopedic Surgeon, Saint Clair Shores, Michigan, United States|Orthopedic Surgeon, Florham Park, New Jersey, United States|Orthopedic Surgeon, Sioux Falls, South Dakota, United States"		https://ClinicalTrials.gov/show/NCT04032444
313	NCT03175302	PREsurgical Cognitive Evaluation Via Digital clockfacEdrawing	PRECEDE	Recruiting	No Results Available	Cognitive Dysfunction			Behavioral: digital cognitive testing	Control and pre-surgery differences between digital behaviors|Predictive validity of digital behaviors on outcome|Change over time in digital behavior between groups	University of Florida|National Institute on Aging (NIA)	All	65 Years and older   (Older Adult)		25240	Other|NIH	Observational	Observational Model: Cohort|Time Perspective: Other	IRB201700747-N|R01AG055337|OCR18881	"June 28, 2018"	1-Aug-21	22-May	5-Jun-17		25-Jul-19	"UF Health, Gainesville, Florida, United States"		https://ClinicalTrials.gov/show/NCT03175302
314	NCT01699243	Continuous Noninvasive Method for Estimating and Predicting Maternal and Fetal Hemodynamic Changes During Regional Anesthesia		Enrolling by invitation	No Results Available	Pregnancy|Anesthesia				effective intravascular volume loss during maternal regional anesthesia	"University of Colorado, Denver"	Female	"14 Years to 44 Years   (Child, Adult)"		19	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	12-0990	"September 1, 2012"	20-Jun	20-Jun	3-Oct-12		8-Oct-19	"Children's Hospital Colorado, Aurora, Colorado, United States|University of Colorado Hospital, Aurora, Colorado, United States"		https://ClinicalTrials.gov/show/NCT01699243
315	NCT01700465	Estimating and Predicting Hemodynamic Changes During Hemodialysis		Completed	No Results Available	Hemodialysis				Acute intravascular volume loss during hemodialysis	"University of Colorado, Denver"	All	"2 Years to 89 Years   (Child, Adult, Older Adult)"		241	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	11-1437	"September 1, 2012"	16-Dec	16-Dec	4-Oct-12		5-Dec-16	"Fresenius Medical Center East Denver, Aurora, Colorado, United States|Children's Hospital Colorado, Aurora, Colorado, United States|University of Colorado Hospital, Aurora, Colorado, United States|Fresenius Medical Center Central, Denver, Colorado, United States|Fresenius Medical Center Rocky Mountain, Denver, Colorado, United States"		https://ClinicalTrials.gov/show/NCT01700465
316	NCT03037710	"Link-HF, Phase II: Multisensor Non-invasive Telemonitoring System for Prediction of Heart Failure Exacerbation"	LINK-HF	Completed	No Results Available	Cardiac Failure		Cardiovascular	Device: HealthPatch	Detection of Heart Failure Exacerbation Event	Josef Stehlik|University of Utah	All	"18 Years and older   (Adult, Older Adult)"		100	Other	Observational	Observational Model: Other|Time Perspective: Prospective	81833	"June 1, 2015"	26-Jan-17	26-Jan-17	31-Jan-17		9-Jan-18	"Palo Alto VA Health Care System, Palo Alto, California, United States|Malcom Randall VA Medical Center, Gainesville, Florida, United States|Michael E. DeBakey VA Medical Center, Houston, Texas, United States|George E Wahlen Medical Center, Salt Lake City, Utah, United States"		https://ClinicalTrials.gov/show/NCT03037710
317	NCT04145609	Intensified Acute Kidney Disease Care to Reduce Chronic Kidney Disease	ISACC	Not yet recruiting	No Results Available	"Acute Kidney Injury|Renal Insufficiency, Chronic|Acute Kidney Disease|Decision Support Systems, Clinical"			Behavioral: Multidisciplinary team (MDT) care and Acute kidney disease (AKD) clinic	Proportion of Major adverse kidney event|Mortality|Chronic dialysis|Renal progression|Time to MAKE|Time to death|Time to chronic dialysis|Time to renal progression to CKD|Time to first ER visit|Time to first rehospitalization|Time to first recurrence of AKI|Proportion of MACE	"Taipei Medical University Shuang Ho Hospital|National Health Research Institutes, Taiwan|Taipei Medical University"	All	"20 Years and older   (Adult, Older Adult)"	Not Applicable	690	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	N201905047	"January 1, 2020"	31-Dec-20	31-Dec-21	30-Oct-19		30-Oct-19			https://ClinicalTrials.gov/show/NCT04145609
318	NCT04074577	"Computer Aided Detection, Tandem Colonoscopy Study"		Not yet recruiting	No Results Available	Colonic Diseases			Diagnostic Test: Standard technique First|Diagnostic Test: combination technique First	Number of adenomas detected in combination technique compared to adenomas detected in standard technique Measured by Adenoma Miss Rate (AMR)	NYU Langone Health	All	"22 Years and older   (Adult, Older Adult)"	Not Applicable	196	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening	19-00801	"September 1, 2019"	20-Sep	20-Sep	30-Aug-19		30-Aug-19	"NYU Langone Health, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT04074577
319	NCT03788811	ERG Components in Schizophrenia and Bipolar Disorder Type I		Recruiting	No Results Available	Schizophrenia|Bipolar I Disorder			Device: ERG assessment (RSPA)	Differences in ERG components vs control ERG with full-field ERG stimulation conditions.|Differences in ERG components vs control ERG with Photopic Negative Response (PhNR) ERG stimulation conditions.|Differences in ERG components vs control ERG with On-Off ERG stimulation conditions.	diaMentis Inc.	All	18 Years to 50 Years   (Adult)		300	Industry	Observational	Observational Model: Case-Control|Time Perspective: Prospective	dM/CL-01	"July 5, 2018"	31-Dec-20	31-Dec-20	28-Dec-18		7-Oct-19	"McLean Hospital, Belmont, Massachusetts, United States|Rutgers University Behavioral HealthCare, Piscataway, New Jersey, United States|Centre for Addiction and Mental Health (CAMH), Toronto, Ontario, Canada|Institut Universitaire en Santé Mentale de Montréal, Montréal, Quebec, Canada"		https://ClinicalTrials.gov/show/NCT03788811
320	NCT03304990	Panomics Relationships in the Epidemiology of Cancer Through In Silico Expression (PRECISE)		Not yet recruiting	No Results Available	Cancer|Patients With Clinical and Environmental Risk Factors for Cancer|Patients With a Suspected or Confirmed Diagnosis of Cancer			Other: Patients with CA or suspected risk of CA or a family Hx	Panomics Relationships in the Epidemiology of Cancer through In Silico Expression (PRECISE)	Greater Baltimore Medical Center	All	"18 Years and older   (Adult, Older Adult)"		1000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	PRECISE	"November 29, 2017"	26-Sep-22	26-Sep-22	9-Oct-17		2-Dec-17	"Greater Baltimore Medical Center, Baltimore, Maryland, United States"		https://ClinicalTrials.gov/show/NCT03304990
321	NCT03946618	Neurophysiologically Based Brain State Tracking and Modulation in Focal Epilepsy		Recruiting	No Results Available	Epilepsy			"Device: Medtronic Summit System, Olympus"	Adverse events (AE) experienced with the RC+S system|24/7 continuous iEEG monitoring|Change in mood|Change in anxiety|Tracking cognition	Mayo Clinic|National Institute of Neurological Disorders and Stroke (NINDS)|Medtronic	All	"18 Years to 75 Years   (Adult, Older Adult)"	Phase 1	10	Other|NIH|Industry	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	18-005483|UH2NS095495-03	"July 10, 2019"	30-Apr-22	31-Dec-22	10-May-19		18-Dec-19	"Mayo Clinic in Rochester, Rochester, Minnesota, United States"		https://ClinicalTrials.gov/show/NCT03946618
322	NCT03787433	Assisted Rehabilitation Care During Post-stroke mANaGement: fEasibiLity Assessment	ARCANGEL	Recruiting	No Results Available	Stroke			Device: ARC - Assisted Rehabilitation Care	"Number of patients successfully completing the study|Ratio between the total number of subjects refusing to participate before training and the total number of subjects screened|Ratio between the total number of subjects refusing to participate after training and the total number of subjects screened|Number of training sessions|Overall training period duration|Assisted Rehabilitation Care (ARC) questionnaire score|Assisted Rehabilitation Care (ARC) questionnaire change|ARC global satisfaction score|Modified version of Adult Carer Quality of Life Questionnaire (AC-QoL) total score|Device-related adverse effects|Modified Rankin Score change (N.Ireland)|Barthel Index change (Italy)|Euro Quality of Life - 5 Dimension (EQ-5D) Health Questionnaire summary index|Euro Quality of Life - 5 Dimension (EQ-5D) Health Questionnaire summary index change|Signs of Depression Scale (SODS, N.Ireland)|Zung Self-Rating Depression Scale (SDS, Italy)|Resource consumption"	"Camlin Ltd|Northern Health and Social Care Trust|Azienda Sanitaria Locale 3, Torino"	All	"18 Years and older   (Adult, Older Adult)"		225	Industry|Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	ARCANGEL	"November 23, 2018"	28-Feb-20	31-Mar-20	26-Dec-18		4-Mar-19	"Azienda Sanitaria Locale 3, Torino, Pinerolo, Italy|Northern Health and Social Care Trust, Antrim, Northern Ireland, United Kingdom"		https://ClinicalTrials.gov/show/NCT03787433
323	NCT03845699	Development of an Algorithm That Predicts Hypoventilation Due to an Opioid Overdose		Recruiting	No Results Available	Drug Overdose|Opioid-Related Disorders			Device: Diagnostic algorithms that detects/predicts hypoventilation	Percent Sensitivity and Specificity of Detecting/Predicting the Onset of Mild Hypoventilation due to an Opioid Overdose|Percent Sensitivity and Specificity of Detecting/Predicting the Onset of Moderate Hypoventilation due to an Opioid Overdose|Percent Sensitivity and Specificity of Detecting/Predicting the Onset of Severe Hypoventilation due to an Opioid Overdose|Absolute Difference Between Trachea Sound Sensor's Measurements and Reference Sensor Measurements	"RTM Vital Signs, LLC|Thomas Jefferson University"	All	18 Years to 40 Years   (Adult)		20	Industry|Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	"20183438,18C.7"	"May 15, 2019"	14-May-20	14-May-20	19-Feb-19		9-May-19	"Thomas Jefferson University, Philadelphia, Pennsylvania, United States"	"Study Protocol, https://ClinicalTrials.gov/ProvidedDocs/99/NCT03845699/Prot_000.pdf"	https://ClinicalTrials.gov/show/NCT03845699
324	NCT03659526	Quantitative Stress Echocardiography to Diagnose Myocardial Ischaemia	DEVISE	Recruiting	No Results Available	"Ischemia, Myocardial"		Cardiovascular	Diagnostic Test: Deformation imaging	Diagnostic accuracy of quantitative measures of dobutamine stress echocardiography|Lowest dose of dobutamine to provoke measurable marker of inducible myocardial ischaemia|Diagnostic accuracy of using machine learning to interpret multiparametric and multidimensional datasets to diagnose myocardial ischaemia	University Hospital of Wales|Leuven University|Universitat Pompeu Fabra|Hull University Teaching Hospitals NHS Trust|Danderyd Hospital	All	"20 Years to 89 Years   (Adult, Older Adult)"		390	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	IRAS Project ID 136434	"January 21, 2016"	31-Oct-20	31-Oct-21	6-Sep-18		6-Sep-18	"UZ Leuven, Leuven, Belgium|Danderyd Hospital, Stockholm, Sweden|University Hospital Wales, Cardiff, United Kingdom|Castle Hill Hospital, Cottingham, United Kingdom"		https://ClinicalTrials.gov/show/NCT03659526
325	NCT00825461	Ghrelin With Anorexia Nervosa		Completed	No Results Available	Anorexia Nervosa				Concentration of ghrelin in blood.	Maastricht University Medical Center	Female	"12 Years to 35 Years   (Child, Adult)"		20	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	08-3-089	"March 1, 2009"	11-Dec	31-Dec-12	21-Jan-09		9-Jan-18	"University Hospital Maastricht, Maastricht, Limburg, Netherlands"		https://ClinicalTrials.gov/show/NCT00825461
326	NCT04256395	Efficacy of a Self-test and Self-alert Mobile Applet in Detecting Susceptible Infection of 2019-nCoV	2019-nCoV	Recruiting	No Results Available	Susceptibility to Viral and Mycobacterial Infection			Other: mobile internet survey on self-test	positive number diagnosed by national guideline in the evaluated population|distribution map of evaluated people|Effect of medical guidance by designated feedback questionnaire|mental scale of relief the mental anxiety and avoid unnecessary outpatient	Beijing Tsinghua Chang Gung Hospital|Institute for precision medicine of Tsinghua University|Institute for artificial intelligent of Tsinghua University|Chinese Medical Doctor Association|Institute for network behavior of Tsinghua University|school of clinical medicine of Tsinghua University	All	"Child, Adult, Older Adult"		100000	Other	Observational	Observational Model: Other|Time Perspective: Prospective	RWS-BTCH-002	"February 1, 2020"	31-Jul-20	31-Jul-20	5-Feb-20		6-Feb-20	"Beijing Tsinghua Changgung Hospital, Beijing, Beijing, China"		https://ClinicalTrials.gov/show/NCT04256395
327	NCT01448694	Non-invasive Hemodynamic Monitoring During Blood Donation for Developing Models of Early Blood Loss		Completed	No Results Available	Hemorrhage			Other: No treatment	Algorithm	"University of Colorado, Denver|United States Department of Defense"	All	"18 Years to 89 Years   (Adult, Older Adult)"		320	Other|U.S. Fed	Observational	Observational Model: Case-Only|Time Perspective: Prospective	10-1421	"November 1, 2011"	13-Oct	14-Sep	7-Oct-11		3-Dec-14	"Children's Hospital Colorado, Aurora, Colorado, United States"		https://ClinicalTrials.gov/show/NCT01448694
328	NCT03305380	"Radiomics to Identify Patients at Risk for Developing Pneumonitis, Differentiate Immune Checkpoint Inhibitor-induced Pneumonitis From Other Lung Inflammation and Distinguish Tumour Pseudo-progression From Real Tumour Growth"		Recruiting	No Results Available	Stage IV Non-small Cell Lung Cancer			Other: No interventions	Cause of pneumonitis|Predictive accuracy of radiomics for determining the cause of pneumonitis	Maastricht Radiation Oncology|Maastricht University Medical Center|Zuyderland Medical Centre	All	"18 Years and older   (Adult, Older Adult)"		380	Other	Observational	Observational Model: Other|Time Perspective: Other	BMS Radiomics	"September 1, 2017"	1-Dec-20	1-Dec-20	10-Oct-17		18-Jan-20	"Zuyderland Medical Center, Heerlen, Netherlands|MUMC+, Maastricht, Netherlands"		https://ClinicalTrials.gov/show/NCT03305380
329	NCT03352648	CarDiac MagnEtic Resonance for Primary Prevention Implantable CardioVerter DebrillAtor ThErapy: an International Registry (DERIVATE)	DERIVATE	Enrolling by invitation	No Results Available	Heart Failure|Left Ventricular Systolic Dysfunction		Cardiovascular		all-cause mortality|sudden cardiac death (SCD)|aborted sudden cardiac death (SCD)|heart failure (HF) death|sustained ventricular tachycardia (VT)|major adverse cardiac events (MACE)	"Gianluca Pontone, MD, PhD|University of Lausanne Hospitals|Centro Cardiologico Monzino"	All	"Child, Adult, Older Adult"		4000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	R659/17-CCM698	"January 1, 2007"	19-Aug	20-Dec	24-Nov-17		6-Jun-19	"Loyola University of Chicago,, Chicago, Illinois, United States|Medical University of South Carolina, Charleston, South Carolina, United States|KU Leuven-University of Leuven, Leuven, Belgium|St.Luke's Hospital Thessaloniki, Thessaloníki, Greece|Ospedale Medico-Chirurgico Accreditato Villa dei Fiori, Acerra, Italy|University Hospital Policlinico Consorziale, Bari, Italy|Azienda Ospedaliera Papa Giovanni XXIII, Bergamo, Italy|A.O. Desio e Vimercate - P.O. Desio, Desio, Italy|Ospedali Riuniti University Hospital, Foggia, Italy|University of Messina, Messina, Italy|IRCCS Policlinico San Donato,, Milano, Italy|Vita-Salute San Raffaele University, Milano, Italy|Centro Cardiologico Monzino, IRCCS, Milano, Italy|IRCCS Istituto Auxologico Italiano, Milano, Italy|ASST Grande Ospedale Metropolitano Niguarda, Milano, Italy|University of Padua, Padua, Italy|Azienda Ospedaliero-Universitaria di Parma, Parma, Italy|Policlinico San Matteo Pavia Fondazione IRCCS, Pavia, Italy|Fondazione G. Monasterio CNR, Regione Toscana, Pisa, Italy|Azienda Unità Sanitaria Locale di Rimini - Regione Emilia Romagna, Rimini, Italy|Casilino Polyclinic, Roma, Italy|Vannini Hospital Rome, Roma, Italy|Sapienza University of Rome, Rome, Italy|Humanitas Research Hospital, Hospital Care and Research Institution, IRCCS,, Rozzano, Italy|University of Siena, Siena, Italy|Lausanne University Hospital-CHUV, Lausanne, Switzerland|Bristol Heart Institute, Bristol, United Kingdom|King's College London, London, United Kingdom|The Heart Hospital, London, United Kingdom"		https://ClinicalTrials.gov/show/NCT03352648
330	NCT03916562	Optimization Principles in Hemiparetic Gait		Recruiting	No Results Available	Stroke			Behavioral: Manipulation of spatiotemporal coordination during walking	Oxygen consumption (VO2)|Correlation between oxygen consumption (VO2) and step length asymmetry|Angular momentum during walking|Correlation between angular momentum and step length asymmetry during walking	University of Southern California|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	"21 Years and older   (Adult, Older Adult)"	Not Applicable	108	Other|NIH	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	HS-18-00533|R01HD091184	"November 13, 2018"	31-May-22	31-May-22	16-Apr-19		16-Apr-19	"University of Southern California, Los Angeles, California, United States"		https://ClinicalTrials.gov/show/NCT03916562
331	NCT03286491	Clinical Decision Support System to Define 30 Day Adverse Clinical Events for Emergency Department Acute Coronary Syndromes		Unknown status	No Results Available	Acute Coronary Syndrome|Clinical Decision Support System		Cardiovascular	Diagnostic Test: Further cardiac imaging	"Non fatal myocardial infarction, cardiac related death or coronary intervention in 30 days"	Turkish Ministry of Health Izmir Teaching Hospital	All	"18 Years and older   (Adult, Older Adult)"		400	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	TurkishMOHITH	"August 12, 2017"	12-Dec-17	1-Feb-18	18-Sep-17		18-Sep-17	"Izmir Bozyaka Training and Research Hospital, Izmir, Turkey"		https://ClinicalTrials.gov/show/NCT03286491
